K42J,Keystone Airpark,America/New_York,29.84475,-82.04753
K46D,CARRINGTON,America/Chicago,47.45,-99.15
K46U,Alpine,America/Denver,43.1846,-111.0424
K49A,Gilmer County Airport,America/New_York,34.6301,-84.5271
K49B,STURGIS,America/Denver,44.418,-103.37545
K4A6,Scottsboro Municipal Airport,America/Chicago,34.68871,-86.00593
K4A7,Hampton Clayton County - Tara Field,America/New_York,33.3891,-84.3324
K4A9,"Fort Payne, Isbell Field Airport",America/Chicago,34.47361,-85.72139
K4BM,Wilkerson Pass,America/Denver,39.05028,-105.5144399
K4I3,Knox County Airfield,America/New_York,40.3289,-82.5261
K4I7,Greencastle Putnam County,America/Indiana/Indianapolis,39.6336,-86.8138
K4M9,Corning Municipal Airport,America/Chicago,36.404,-90.648
K4MR,Melrose Gunnery Range,America/Denver,34.3,-103.8
K4O4,"Idabel, Mc Curtain County Regional Airport",America/Chicago,33.90917,-94.85917
K4S1,Gold Beach,America/Los_Angeles,42.4099999,-124.42
K4X4,WESSSPRINGS,America/Chicago,44.06103,-98.53089
K54J,DeFuniak Spr AP,America/Chicago,30.7311,-86.1538
K5A6,Winona-Montgomery County Airport,America/Chicago,33.465,-89.7302
K5B2,SARATOGA SPRINGS,America/New_York,43.05,-73.86
K5C1,San Antonio Boerne Stage Field,America/Chicago,29.7239,-98.6946
K5H4,Harvey Municipal Airport,America/Chicago,47.7912,-99.9317
K5M9,Marion-crittenden County Airport,America/Chicago,37.3363,-88.1097
K5R8,De Quincy Industrial Airpark,America/Chicago,30.4412,-93.4735
K5SM,Sunlight,America/Denver,39.42556,-107.37917
K5T9,Maverick County Memorial International Airport,America/Chicago,28.8571,-100.5134999
K65S,Boundary County Airport,America/Los_Angeles,48.726,-116.2952
K66R,Robert R Wells Jr Airport,America/Chicago,29.6411,-96.5158
K6A1,Butler Municipal Airport,America/New_York,32.567,-84.251
K6A2,Griffin Spalding County Airport,America/New_York,33.2269999,-84.2749
K6B0,Middlebury State Airport,America/New_York,43.9848,-73.0959
K6B9,Skaneateles Aero Drome,America/New_York,42.914,-76.4408
K6E5,DESMET,America/Chicago,44.4308,-97.5611799
K6I2,Lebanon-Springfield Airport,America/New_York,37.6352,-85.2418
K6K5,SISTERS,America/Los_Angeles,44.30445,-121.53909
K6L4,Logan County Airport,America/New_York,37.8557,-81.9158999
K6R3,Cleveland,America/Chicago,30.3567,-95.0083
K6R6,Dryden - Terrell County Airport,America/Chicago,30.04806,-102.21306
K6S5,HAMILTON,America/Denver,46.2514899,-114.12554
K6S8,LAURELMUNC,America/Denver,45.70308,-108.76108
K6V4,WALLMUNC,America/Denver,43.99949,-102.2546
K6V5,BISON,America/Denver,45.51859,-102.4599999
K74V,ROOSEVELT,America/Denver,40.28,-110.05
K79J,"Andalusia, Andalusia-Opp Municipal Airport",America/Chicago,31.3,-86.38333
K7BM,Cottonwood Pass,America/Denver,38.7825,-106.21806
K7L2,LINTON,America/Chicago,46.22,-100.25
K7R3,Amelia / Lake Palourd,America/Chicago,29.7,-91.1
K7S1,TWIN BRIDGES,America/Denver,45.5337699,-112.30258
K7W4,Lake Anna Airport,America/New_York,37.9658,-77.7459
K82C,New Lisbon Mauston Airport,America/Chicago,43.8387,-90.1377
K82V,Pine Bluffs Municipal Airport,America/Denver,41.1533,-104.1302
K84D,EAGLEBUTTE,America/Denver,44.98437,-101.25104
K88M,EUREKA,America/Denver,48.97383,-115.07633
K8A0,"Albertville, Albertville Municipal Airport",America/Chicago,34.22889,-86.25556
K8B0,FRANKLIN,America/New_York,44.99189,-70.66463
K8D3,"Sisseton, Sisseton Municipal Airport",America/Chicago,45.66889,-96.99139
K8D7,CLARKCOUNTY,America/Chicago,44.89491,-97.71108
K8K2,HARPER,America/Chicago,37.27818,-98.04347
K8V3,PARKSTONMUNC,America/Chicago,43.37915,-97.97118
K8W2,New Market Airport,America/New_York,38.6557,-78.7081
K92S,Cape Blanco Coast Guard Station,America/Los_Angeles,42.8333299,-124.56667
K96D,Walhalla Municipal Airport,America/Chicago,48.94017,-97.90528
K97M,EKALAKA AIRPORT,America/Denver,45.87791,-104.5375
K98D,ONIDAMUNC,America/Chicago,44.7004499,-100.1
K9A5,Barwick Lafayette Airport,America/New_York,34.6885,-85.2903
K9D1,GREGORY AIRPORT,America/Chicago,43.2217399,-99.4033
K9D7,CANDO,America/Chicago,48.4799999,-99.23
K9F2,Fourchon Supplementary Aviation Weather Reporting Station,America/Chicago,29.1,-90.2
K9K7,ELLSWORTH,America/Chicago,38.7504,-98.22975
K9K8,KINGMAN,America/Chicago,37.6689999,-98.12388
K9L2,"Edwards, Edwards Air Force Auxiliary North Base",America/Los_Angeles,34.98333,-117.85
K9MN,Rochester - St. Mary's Hospital Heliport,America/Chicago,44.0206,-92.48286
K9S2,SCOBEY AIRPORT,America/Denver,48.80772,-105.43947
K9V6,MARTINMUNC,America/Denver,43.16564,-101.71269
K9V9,"Chamberlain, Chamberlain Municipal Airport",America/Chicago,43.76667,-99.31833
KA08,Vaiden Fld Airport,America/Chicago,32.5105,-87.3848
KA39,Ak-Chin Regional Airport,America/Phoenix,32.99,-111.91833
KAAA,Logan County Airport,America/Chicago,40.15885,-89.33891
KAAF,"Apalachicola, Apalachicola",America/New_York,29.72694,-85.02472
KAAO,Wichita Jabara Airport,America/Chicago,37.74969,-97.21908
KAAT,Alturas,America/Los_Angeles,41.48362,-120.5615
KABE,"Allentown, Lehigh Valley International Airport",America/New_York,40.64985,-75.44771
KABH,ELLICOTT-B AFA,America/Denver,38.7578,-104.3013
KABI,"Abilene, Abilene Regional Airport",America/Chicago,32.41028,-99.68167
KABQ,"Albuquerque, Albuquerque International Airport",America/Denver,35.04167,-106.61472
KABR,"Aberdeen, Aberdeen Regional Airport",America/Chicago,45.44333,-98.41306
KABY,"Albany, Southwest Georgia Regional Airport",America/New_York,31.53556,-84.19444
KACB,"Bellaire, Antrim County Airport",America/Detroit,44.98833,-85.19833
KACJ,Americus Souther Field Airport,America/New_York,32.11081,-84.18886
KACK,"Nantucket, Nantucket Memorial Airport",America/New_York,41.25389,-70.05972
KACP,"Oakdale, Allen Parish Airport",America/Chicago,30.75056,-92.68861
KACQ,Waseca Municipal Airport,America/Chicago,44.07024,-93.55342
KACT,"Waco, Waco Regional Airport",America/Chicago,31.61722,-97.22778
KACV,"Arcata / Eureka, Arcata Airport",America/Los_Angeles,40.97806,-124.10861
KACY,"Atlantic City, Atlantic City International Airport",America/New_York,39.45202,-74.56699
KADC,Wadena Municipal Airport,America/Chicago,46.45022,-95.21353
KADF,Dexter B Florence Memorial Field,America/Chicago,34.0998,-93.0661
KADG,"Adrian, Lenawee County Airport",America/Detroit,41.86778,-84.07944
KADH,"Ada, Ada Municipal Airport",America/Chicago,34.80444,-96.67139
KADM,"Ardmore, Ardmore Municipal Airport",America/Chicago,34.30306,-97.01944
KADS,Dallas / Addison Airport,America/Chicago,32.96667,-96.83333
KADU,"Audubon, Audubon County Airport",America/Chicago,41.70111,-94.92028
KADW,Camp Springs / Andrews Air Force Base,America/New_York,38.81667,-76.85
KAEG,"Albuquerque, Double Eagle II Airport",America/Denver,35.145,-106.795
KAEJ,Central Colorado Regional Airport,America/Denver,38.81416,-106.12069
KAEL,"Albert Lea, Albert Lea Municipal Airport",America/Chicago,43.68333,-93.36667
KAEX,"Alexandria, Alexandria International Airport",America/Chicago,31.33472,-92.55861
KAFF,Air Force Academy,America/Denver,38.96667,-104.81667
KAFJ,"Washington, Washington County Airport",America/New_York,40.13333,-80.28333
KAFK,"Nebraska City, Nebraska City Municipal Airport",America/Chicago,40.6,-95.85
KAFN,Jaffrey Airport-Silver Ranch,America/New_York,42.8066699,-72.00127
KAFO,Afton WY,America/Denver,42.7113299,-110.94217
KAFP,Anson County Airport,America/New_York,35.01944,-80.07836
KAFW,"Fort Worth, Fort Worth Alliance Airport",America/Chicago,32.97333,-97.31806
KAGC,Pittsburgh - Allegheny County Airport,America/New_York,40.35521,-79.92144
KAGS,"Augusta, Bush Field",America/New_York,33.36444,-81.96333
KAHN,"Athens, Athens Airport",America/New_York,33.95083,-83.3280599
KAHQ,Wahoo,America/Chicago,41.2406,-96.5946
KAIA,"Alliance, Alliance Municipal Airport",America/Denver,42.05722,-102.8
KAIB,Nucla Hopkins Field Airport,America/Denver,38.23875,-108.563277
KAID,Anderson Municipal Airport,America/Indiana/Indianapolis,40.10612,-85.60977
KAIG,Langlade County Airport,America/Chicago,45.15659,-89.11144
KAIK,Aiken Municipal Airport,America/New_York,33.649,-81.685
KAIO,Atlantic,America/Chicago,41.4,-95.05
KAIT,Aitkin Municipal Airport - Steve Kurtz Field,America/Chicago,46.54899,-93.67573
KAIZ,"Kaiser Lake Ozark, Lee C Fine Memorial Airport",America/Chicago,38.1,-92.55
KAJG,"Mount Carmel, Mount Carmel Municipal Airport",America/Chicago,38.60928,-87.72508
KAJL,Lava Mountain,America/Denver,43.674,-110.031
KAJO,Corona Airport,America/Los_Angeles,33.8977,-117.6024
KAJR,Cornelia Habersham County Airport,America/New_York,34.4998,-83.5567
KAJZ,Delta/Blake Field Airport,America/Denver,38.7868799,-108.06584
KAKH,Gastonia Municipal Airport,America/New_York,35.1968699,-81.15545
KAKO,Akron-Washington County Airport,America/Denver,40.17428,-103.21459
KAKQ,Wakefield Municipal Airport,America/New_York,36.98274,-77.00137
KAKR,"Akron, Akron Fulton International Airport",America/New_York,41.0375,-81.46417
KALB,Albany International Airport,America/New_York,42.74722,-73.79912
KALI,"Alice, Alice International Airport",America/Chicago,27.74111,-98.02694
KALK,Pioneer Airfield,America/Phoenix,31.60564,-110.4281
KALM,Alamogordo-White,America/Denver,32.8333299,-105.98333
KALN,St. Louis Regional Airport,America/Chicago,38.88968,-90.03163
KALO,"Waterloo, Waterloo Municipal Airport",America/Chicago,42.55444,-92.40111
KALS,San Luis Valley Regional Airport,America/Denver,37.43933,-105.8618
KALW,Walla Walla Regional Airport,America/Los_Angeles,46.09462,-118.2858
KALX,"Alexander City, Thomas C Russell Field Airport",America/Chicago,32.91472,-85.96278
KAMA,"Amarillo, Amarillo International Airport",America/Chicago,35.22,-101.71722
KAMG,"Alma, Bacon County Airport",America/New_York,31.53611,-82.50667
KAMN,"Alma, Gratiot Community Airport",America/Detroit,43.32194,-84.68778
KAMW,"Ames, Ames Municipal Airport",America/Chicago,41.99056,-93.6188899
KANB,Anniston Metro Airport,America/Chicago,33.59045,-85.84789
KAND,"Anderson, Anderson County Airport",America/New_York,34.49778,-82.70972
KANE,Minneapolis / Blaine,America/Chicago,45.14258,-93.21272
KANJ,Sault Ste. Marie,America/Detroit,46.4794399,-84.35722
KANK,Harriet Alexander Field Airport,America/Denver,38.53828,-106.04864
KANQ,Angola Tri-State Steuben County Airport,America/Indiana/Indianapolis,41.6404,-85.0851
KANW,Ainsworth Regional Airport,America/Chicago,42.57484,-99.99832
KAOH,"Lima, Lima Allen County Airport",America/New_York,40.70806,-84.02139
KAOO,Altoona - Blair County Airport,America/New_York,40.29994,-78.3168
KAPA,Denver - Centennial Airport,America/Denver,39.55991,-104.84841
KAPC,"Napa, Napa County Airport",America/Los_Angeles,38.2075,-122.27944
KAPF,"Naples, Naples Municipal Airport",America/New_York,26.15,-81.76667
KAPG,Phillips Army Air Field / Aberdeen,America/New_York,39.46667,-76.16667
KAPN,"Alpena, Alpena County Regional Airport",America/Detroit,45.07167,-83.56444
KAPV,APPLE VALLEY,America/Los_Angeles,34.57533,-117.18619
KAPY,"Zapata, TX",America/Chicago,26.969,-99.249
KAQO,"Llano, Llano Municipal Airport",America/Chicago,30.78361,-98.66194
KAQP,Appleton Municipal Airport,America/Chicago,45.22488,-96.00412
KAQR,"Atoka, Atoka Municipal Airport",America/Chicago,34.39833,-96.14806
KAQV,Ft. Polk - Peason Ridge,America/Chicago,31.4,-93.2833
KAQW,North Adams Harriman-and-West Airport,America/New_York,42.69731,-73.16955
KAQX,Allendale County Airport,America/New_York,32.9951,-81.2703
KARA,"New Iberia, Acadiana Regional Airport",America/Chicago,30.02889,-91.88444
KARB,"Ann Arbor, Ann Arbor Municipal Airport",America/Detroit,42.22389,-83.74
KARG,"Walnut Ridge, Walnut Ridge Regional Airport",America/Chicago,36.13333,-90.91667
KARL,Arlington I-80 west of Laramie,America/Denver,41.5980599,-106.21487
KARM,"Wharton, Wharton Regional Airport",America/Chicago,29.25417,-96.1541699
KARR,Aurora Municipal Airport,America/Chicago,41.77132,-88.48147
KART,"Watertown, Watertown International Airport",America/New_York,43.99194,-76.02167
KARV,"Minocqua/Woodruff, Lakeland Airport/Noble F. Lee Memorial Field",America/Chicago,45.93333,-89.73333
KARW,Beaufort County Airport,America/New_York,32.412,-80.634
KASD,"Slidell, Slidell Airport",America/Chicago,30.34306,-89.82194
KASE,Aspen-Pitkin County Airport,America/Denver,39.22992,-106.87051
KASG,Springdale Municipal,America/Chicago,36.18333,-94.11667
KASH,Nashua - Boire Field Airport,America/New_York,42.77981,-71.51409
